TITLE "Generated by Foundry::LUT"
LUT_3D_SIZE 32
0.600586 0.149536 0.000000
0.634766 0.149536 0.000000
0.668945 0.149536 0.000000
0.703125 0.149536 0.000000
0.736816 0.149536 0.000000
0.771484 0.149536 0.000000
0.805664 0.149536 0.000000
0.839844 0.149536 0.000000
0.874023 0.149536 0.000000
0.907715 0.149536 0.000000
0.940430 0.149536 0.000000
0.972168 0.149536 0.000000
1.000000 0.149536 0.000000
0.000000 0.181396 0.000000
0.014786 0.181396 0.000000
0.038849 0.181396 0.000000
0.066589 0.181396 0.000000
0.096863 0.181396 0.000000
0.128540 0.181396 0.000000
0.160767 0.181396 0.000000
0.193237 0.181396 0.000000
0.226929 0.181396 0.000000
0.260986 0.181396 0.000000
0.295166 0.181396 0.000000
0.328857 0.181396 0.000000
0.362793 0.181396 0.000000
0.397705 0.181396 0.000000
0.432373 0.181396 0.000000
0.466309 0.181396 0.000000
0.499756 0.181396 0.000000
0.533203 0.181396 0.000000
0.566895 0.181396 0.000000
0.600586 0.181396 0.000000
0.634766 0.181396 0.000000
0.668945 0.181396 0.000000
0.703125 0.181396 0.000000
0.736816 0.181396 0.000000
0.771484 0.181396 0.000000
0.805664 0.181396 0.000000
0.839844 0.181396 0.000000
0.874023 0.181396 0.000000
0.907715 0.181396 0.000000
0.940430 0.181396 0.000000
0.972168 0.181396 0.000000
1.000000 0.181396 0.000000
0.000000 0.213989 0.000000
0.014786 0.213989 0.000000
0.038849 0.213989 0.000000
0.066589 0.213989 0.000000
0.096863 0.213989 0.000000
0.128540 0.213989 0.000000
0.160767 0.213989 0.000000
0.193237 0.213989 0.000000
0.226929 0.213989 0.000000
0.260986 0.213989 0.000000
0.295166 0.213989 0.000000
0.328857 0.213989 0.000000
0.362793 0.213989 0.000000
0.397705 0.213989 0.000000
0.432373 0.213989 0.000000
0.466309 0.213989 0.000000
0.499756 0.213989 0.000000
0.533203 0.213989 0.000000
0.566895 0.213989 0.000000
0.600586 0.213989 0.000000
0.634766 0.213989 0.000000
0.668945 0.213989 0.000000
0.703125 0.213989 0.000000
0.736816 0.213989 0.000000
0.771484 0.213989 0.000000
0.805664 0.213989 0.000000
0.839844 0.213989 0.000000
0.874023 0.213989 0.000000
0.907715 0.213989 0.000000
0.940430 0.213989 0.000000
0.972168 0.213989 0.000000
1.000000 0.213989 0.000000
0.000000 0.247559 0.000000
0.014786 0.247559 0.000000
0.038849 0.247559 0.000000
0.066589 0.247559 0.000000
0.096863 0.247559 0.000000
0.128540 0.247559 0.000000
0.160767 0.247559 0.000000
0.193237 0.247559 0.000000
0.226929 0.247559 0.000000
0.260986 0.247559 0.000000
0.295166 0.247559 0.000000
0.328857 0.247559 0.000000
0.362793 0.247681 0.000000
0.397705 0.247681 0.000000
0.432373 0.247681 0.000000
0.466309 0.247681 0.000000
0.499756 0.247681 0.000000
0.533203 0.247681 0.000000
0.566895 0.247681 0.000000
0.600586 0.247681 0.000000
0.634766 0.247681 0.000000
0.668945 0.247681 0.000000
0.703125 0.247681 0.000000
0.736816 0.247681 0.000000
0.771484 0.247681 0.000000
0.805664 0.247681 0.000000
0.839844 0.247681 0.000000
0.874023 0.247681 0.000000
0.907715 0.247681 0.000000
0.940430 0.247681 0.000000
0.972168 0.247681 0.000000
1.000000 0.247681 0.000000
0.000000 0.281006 0.000000
0.014786 0.281006 0.000000
0.038849 0.281006 0.000000
0.066589 0.281006 0.000000
0.096863 0.281006 0.000000
0.128540 0.281006 0.000000
0.160767 0.281006 0.000000
0.193237 0.281006 0.000000
0.226929 0.281006 0.000000
0.260986 0.281006 0.000000
0.295166 0.281006 0.000000
0.328857 0.281006 0.000000
0.362793 0.281006 0.000000
0.397705 0.281006 0.000000
0.432373 0.281006 0.000000
0.466309 0.281006 0.000000
0.499756 0.281006 0.000000
0.533203 0.281006 0.000000
0.566895 0.281006 0.000000
0.600586 0.281006 0.000000
0.634766 0.281006 0.000000
0.668945 0.281006 0.000000
0.703125 0.281006 0.000000
0.736816 0.281006 0.000000
0.771484 0.281006 0.000000
0.805664 0.281006 0.000000
0.839844 0.281006 0.000000
0.874023 0.281006 0.000000
0.907715 0.281006 0.000000
0.940430 0.281006 0.000000
0.972168 0.281006 0.000000
1.000000 0.281006 0.000000
0.000000 0.314453 0.000000
0.014786 0.314453 0.000000
0.038849 0.314453 0.000000
0.066589 0.314453 0.000000
0.096863 0.314453 0.000000
0.128540 0.314453 0.000000
0.160767 0.314453 0.000000
0.193237 0.314453 0.000000
0.226929 0.314453 0.000000
0.260986 0.314453 0.000000
0.295166 0.314453 0.000000
0.328857 0.314453 0.000000
0.362793 0.314453 0.000000
0.397705 0.314453 0.000000
0.432373 0.314453 0.000000
0.466309 0.314453 0.000000
0.499756 0.314453 0.000000
0.533203 0.314453 0.000000
0.566895 0.314453 0.000000
0.600586 0.314453 0.000000
0.634766 0.314453 0.000000
0.668945 0.314453 0.000000
0.703125 0.314453 0.000000
0.736816 0.314453 0.000000
0.771484 0.314453 0.000000
0.805664 0.314453 0.000000
0.839844 0.314453 0.000000
0.874023 0.314453 0.000000
0.907715 0.314453 0.000000
0.940430 0.314453 0.000000
0.972168 0.314453 0.000000
1.000000 0.314453 0.000000
0.000000 0.348877 0.000000
0.014786 0.348877 0.000000
0.038849 0.348877 0.000000
0.066589 0.348877 0.000000
0.096863 0.348877 0.000000
0.128540 0.348877 0.000000
0.160767 0.348877 0.000000
0.193237 0.348877 0.000000
0.226929 0.348877 0.000000
0.260986 0.348877 0.000000
0.295166 0.348877 0.000000
0.328857 0.348877 0.000000
0.362793 0.348877 0.000000
0.397705 0.348877 0.000000
0.432373 0.348877 0.000000
0.466309 0.348877 0.000000
0.499756 0.348877 0.000000
0.533203 0.348877 0.000000
0.566895 0.348877 0.000000
0.600586 0.348877 0.000000
0.634766 0.348877 0.000000
0.668945 0.348877 0.000000
0.703125 0.348877 0.000000
0.736816 0.348877 0.000000
0.771484 0.348877 0.000000
0.805664 0.348877 0.000000
0.839844 0.348877 0.000000
0.874023 0.348877 0.000000
0.907715 0.348877 0.000000
0.940430 0.348877 0.000000
0.972168 0.348877 0.000000
1.000000 0.348877 0.000000
0.000000 0.383545 0.000000
0.014786 0.383545 0.000000
0.038849 0.383545 0.000000
0.066589 0.383545 0.000000
0.096863 0.383545 0.000000
0.128540 0.383545 0.000000
0.160767 0.383545 0.000000
0.193237 0.383545 0.000000
0.226929 0.383545 0.000000
0.260986 0.383545 0.000000
0.295166 0.383545 0.000000
0.328857 0.383545 0.000000
0.362793 0.383545 0.000000
0.397705 0.383545 0.000000
0.432373 0.383545 0.000000
0.466309 0.383545 0.000000
0.499756 0.383545 0.000000
0.533203 0.383545 0.000000
0.566895 0.383545 0.000000
0.600586 0.383545 0.000000
0.634766 0.383545 0.000000
0.668945 0.383545 0.000000
0.703125 0.383545 0.000000
0.736816 0.383545 0.000000
0.771484 0.383545 0.000000
0.805664 0.383545 0.000000
0.839844 0.383545 0.000000
0.874023 0.383545 0.000000
0.907715 0.383545 0.000000
0.940430 0.383545 0.000000
0.972168 0.383545 0.000000
1.000000 0.383545 0.000000
0.000000 0.418213 0.000000
0.014786 0.418213 0.000000
0.038849 0.418213 0.000000
0.066589 0.418213 0.000000
0.096863 0.418213 0.000000
0.128540 0.418213 0.000000
0.160767 0.418213 0.000000
0.193237 0.418213 0.000000
0.226929 0.418213 0.000000
0.260986 0.418213 0.000000
0.295166 0.418213 0.000000
0.328857 0.418213 0.000000
0.362793 0.418213 0.000000
0.397705 0.418213 0.000000
0.432373 0.418213 0.000000
0.466309 0.418213 0.000000
0.499756 0.418213 0.000000
0.533203 0.418213 0.000000
0.566895 0.418213 0.000000
0.600586 0.418213 0.000000
0.634766 0.418213 0.000000
0.668945 0.418213 0.000000
0.703125 0.418213 0.000000
0.736816 0.418213 0.000000
0.771484 0.418213 0.000000
0.805664 0.418213 0.000000
0.839844 0.418213 0.000000
0.874023 0.418213 0.000000
0.907715 0.418213 0.000000
0.940430 0.418213 0.000000
0.972168 0.418213 0.000000
1.000000 0.418213 0.000000
0.000000 0.453125 0.000000
0.014786 0.453125 0.000000
0.038849 0.453125 0.000000
0.066589 0.453125 0.000000
0.096863 0.453125 0.000000
0.128540 0.453125 0.000000
0.160767 0.453125 0.000000
0.193237 0.453125 0.000000
0.226929 0.453125 0.000000
0.260986 0.453125 0.000000
0.295166 0.453125 0.000000
0.328857 0.453125 0.000000
0.362793 0.453125 0.000000
0.397705 0.453125 0.000000
0.432373 0.453125 0.000000
0.466309 0.453125 0.000000
0.499756 0.453125 0.000000
0.533203 0.453125 0.000000
0.566895 0.453125 0.000000
0.600586 0.453125 0.000000
0.634766 0.453125 0.000000
0.668945 0.453125 0.000000
0.703125 0.453125 0.000000
0.736816 0.453125 0.000000
0.771484 0.453125 0.000000
0.805664 0.453125 0.000000
0.839844 0.453125 0.000000
0.874023 0.453125 0.000000
0.907715 0.453125 0.000000
0.940430 0.453125 0.000000
0.972168 0.453125 0.000000
1.000000 0.453125 0.000000
0.000000 0.488037 0.000000
0.014786 0.488037 0.000000
0.038849 0.488037 0.000000
0.066589 0.488037 0.000000
0.096863 0.488037 0.000000
0.128540 0.488037 0.000000
0.160767 0.488037 0.000000
0.193237 0.488037 0.000000
0.226929 0.488037 0.000000
0.260986 0.488037 0.000000
0.295166 0.488037 0.000000
0.328857 0.488037 0.000000
0.362793 0.488037 0.000000
0.397705 0.488037 0.000000
0.432373 0.488037 0.000000
0.466309 0.488037 0.000000
0.499756 0.488037 0.000000
0.533203 0.488037 0.000000
0.566895 0.488037 0.000000
0.600586 0.488037 0.000000
0.634766 0.488037 0.000000
0.668945 0.488037 0.000000
